"Region, subregion, country or area *",Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
Cuba,2022,11220.585,11212.191,5562.694,5649.497,105.024,98.464,41.219,-10.792,-0.963,-16.788,-0.15,...,99.693,14.5,8.889,1.449,0.692,26.154,107.2,110.485,59.144,51.341,9.852,78.155,75.793,80.565,63.675,61.356,66.034,18.192,16.757,19.529,8.878,8.141,9.474,0.401,4.017,99.349,0.507,5.001,25.081,31.018,18.747,104.797,131.835,77.352,41.034,52.442,29.132,98.579,125.079,71.766,-6,-0.535
Curaçao,2022,190.703,191.163,91.647,99.516,450.857,92.093,36.063,0.406,2.125,0.921,0.482,...,2.183,0.148,11.435,1.647,0.792,28.948,104.8,1.777,0.953,0.824,9.31,76.651,72.698,80.277,62.558,58.71,66.05,16.714,14.067,18.82,7.409,5.872,8.282,0.017,7.85,2.167,0.02,9.369,31.252,39.947,21.569,105.882,147.609,68.262,40.628,55.489,25.922,94.929,135.232,59.051,0.515,2.697
Dominica,2022,72.6,72.737,36.161,36.577,96.983,98.864,31.947,0.317,4.357,0.275,0.378,...,0.966,0.105,13.278,1.588,0.764,28.159,103.6,0.649,0.369,0.28,8.921,72.981,69.875,76.451,59.173,56.402,62.269,14.881,12.953,16.825,6.539,5.515,7.278,0.011,11.42,0.956,0.013,13.571,45.231,57.873,32.383,154.923,191.477,115.861,62.403,75.77,48.781,140.666,173.268,106.065,-0.04,-0.55
Dominican Republic,2022,11175.767,11228.821,5634.261,5594.56,232.428,100.71,27.426,135.404,12.043,106.108,0.945,73.349,203.625,30.062,18.111,2.247,1.06,26.861,104.4,68.221,39.171,29.05,6.068,74.17,71.044,77.536,61.583,58.612,64.769,17.944,16.439,19.408,9.06,8.346,9.611,4.963,24.351,199.209,6.168,30.19,70.321,88.314,51.498,169.282,211.277,124.734,75.641,100.136,49.95,141.88,182.338,99.21,-29.294,-2.606
Grenada,2022,125.053,125.438,62.721,62.717,368.934,100.007,31.226,0.963,7.674,0.769,0.613,113.075,1.96,0.139,15.616,1.986,0.953,29.056,104,0.997,0.54,0.457,7.942,75.335,72.588,78.298,61.579,58.89,64.473,17.111,15.365,18.789,8.069,7.091,8.753,0.024,12.287,1.939,0.03,15.038,36.424,42.313,30.393,140.529,173.6,105.379,50.776,63.041,37.904,126.072,158.459,91.726,-0.2,-1.593
Guadeloupe,2022,395.917,395.752,178.983,216.769,243.091,82.568,42.235,0.468,1.181,-0.329,-0.083,...,4.518,0.131,11.404,2.033,0.99,31.248,103.4,4.05,2.076,1.974,10.223,80.799,77.251,83.896,66.231,62.717,69.283,20.254,18.095,22.072,10.219,9.044,11.056,0.02,4.384,4.501,0.022,4.805,20.447,28.346,13.821,87.375,125.637,57.932,35.234,52.238,23.027,82.414,120.253,53.512,-0.8,-2.019
Haiti,2022,11516.043,11584.996,5738.71,5846.285,420.218,98.16,23.247,170.149,14.666,137.905,1.19,58.248,268.523,29.646,23.146,2.773,1.249,29.489,103,98.374,54.048,44.326,8.48,63.728,60.892,66.695,53.285,50.793,55.856,12.303,11.232,13.236,5.179,4.721,5.491,11.649,43.375,258.823,15.22,56.675,132.565,155.518,108.907,293.635,346.441,238.585,126.183,154.824,96.958,241.185,291.572,189.498,-32.248,-2.78
Jamaica,2022,2828.991,2827.377,1402.379,1424.998,261.069,98.413,31.296,7.773,2.744,-3.228,-0.114,...,32.663,3.587,11.531,1.34,0.643,27.932,103.9,24.89,13.193,11.697,8.787,70.629,68.532,72.737,56.738,54.754,58.718,13.331,12.433,14.13,5.554,5.34,5.726,0.369,11.279,32.341,0.444,13.5,48.787,61.412,35.584,189.572,225.912,153.383,77.551,95.906,58.553,176.485,211.684,141.668,-10.999,-3.883
Martinique,2022,367.76,367.507,169.159,198.349,346.705,85.283,46.614,0.145,0.393,-0.506,-0.138,...,3.508,0.131,9.536,1.906,0.93,30.709,102.6,3.363,1.705,1.658,9.143,83.305,80.275,85.966,69.114,66.143,71.702,22.17,20.208,23.806,10.605,9.442,11.436,0.022,6.246,3.489,0.031,8.787,20.48,25.57,15.639,70.086,96.14,48.757,25.758,36.083,17.483,60.872,86.151,40.445,-0.65,-1.767
Montserrat,2022,4.389,4.39,2.317,2.074,42.621,111.719,43.404,-0.01,-2.188,0.002,0.046,...,0.04,0.008,9.071,1.565,0.75,27.479,104.3,0.05,0.03,0.02,11.259,75.849,74.52,77.541,61.913,60.388,63.824,16.105,15.328,17.148,6.97,6.704,7.303,0,10.321,0.04,0,12.289,32.596,34.892,28.974,110.013,128.891,90.741,40.968,49.452,30.892,97.219,118.433,75.398,0,0
