"Region, subregion, country or area *",Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
Belize,2022,402.647,405.272,203.747,201.525,17.767,101.102,25.557,4.661,11.51,5.251,1.296,53.484,7.193,1.083,17.763,1.989,0.947,27.191,105.2,2.532,1.549,0.984,6.253,70.962,67.721,74.685,57.008,53.825,60.662,15.302,14.093,16.684,7.082,6.346,7.854,0.072,10.075,7.13,0.087,12.042,68.513,93.433,42.622,216.953,274.201,155.916,101.634,140.048,61.895,204.997,261.877,144.538,0.6,1.481
Costa Rica,2022,5167.063,5180.829,2590.709,2590.119,101.466,100.023,33.336,23.683,4.573,27.532,0.531,130.536,60.517,6.422,11.686,1.522,0.735,28.01,104.5,36.834,20.494,16.34,7.113,77.32,74.762,80.036,63.036,60.506,65.718,17.431,16.069,18.776,7.218,6.418,7.906,0.415,6.845,60.159,0.489,7.998,32.626,44.314,20.364,106.615,138.849,73.255,47.152,65.804,27.728,98.12,130.016,65.167,3.85,0.743
El Salvador,2022,6323.795,6336.392,3016.535,3319.856,305.81,90.863,26.683,48.435,7.63,25.194,0.398,...,100.313,15.092,15.803,1.785,0.852,27.162,104.8,51.878,28.233,23.646,8.173,71.475,66.837,75.813,57.516,52.903,61.806,15.897,14.403,17.065,7.168,6.467,7.657,0.993,9.895,99.449,1.185,11.777,74.404,111.996,37.157,213.111,301.709,134.115,112.031,176.182,53.675,201.217,290.111,122.386,-23.249,-3.662
Guatemala,2022,17722.702,17843.908,8830.909,9012.999,166.516,97.98,22.418,251.554,14.094,242.412,1.359,51.004,372.335,58.796,20.861,2.354,1.11,27.854,103.9,120.781,67.174,53.607,6.767,68.674,65.697,71.754,55.555,52.645,58.552,14.359,13.065,15.629,6.916,6.133,7.64,7.381,19.825,365.758,8.926,23.833,78.627,99.078,57.54,246.759,301.32,193.957,111.47,146.321,76.549,225.569,280.029,173.23,-9.128,-0.511
Honduras,2022,10354.955,10432.86,5267.354,5165.506,95.649,101.972,23.778,161.194,15.446,155.809,1.493,46.426,217.59,37.198,20.85,2.34,1.111,27.202,105.1,56.396,31.483,24.913,5.404,70.728,68.461,73.157,57.031,54.857,59.355,13.396,12.031,14.764,5.708,5.063,6.183,2.775,12.763,215.156,3.34,15.391,50.543,59.073,41.588,182.55,215.193,149.664,71.949,84.74,58.669,166.999,198.67,135.295,-5.374,-0.515
Mexico,2022,127024.134,127504.125,62194.954,65309.171,65.078,95.232,29.387,1011.377,7.931,959.983,0.753,92.051,1866.399,288.302,14.636,1.803,0.866,26.972,103.9,855.022,480.241,374.782,6.705,74.832,71.547,78.161,60.976,57.776,64.205,17.403,16.159,18.554,8.073,7.41,8.626,20.34,10.887,1848.667,24.24,12.881,56.097,79.613,32.784,158.506,210.91,106.846,76.622,112.196,41.773,145.256,196.939,94.594,-51.399,-0.403
Nicaragua,2022,6898.994,6948.392,3423.787,3524.605,57.74,97.14,24.893,106.805,15.363,98.796,1.422,48.745,139.164,26.977,20.018,2.284,1.097,26.636,103.5,32.359,18.113,14.246,4.655,74.615,71.613,77.556,60.897,58.015,63.697,16.664,15.318,17.794,6.854,6.185,7.317,1.709,12.271,137.669,2.047,14.664,51.355,68.64,34.029,150.436,196.345,105.15,68.58,96.648,41.026,135.445,180.183,91.63,-8,-1.151
Panama,2022,4379.282,4408.581,2204.41,2204.17,59.433,100.011,29.081,50.633,11.496,58.597,1.329,52.156,76.637,12.082,17.4,2.297,1.09,27.022,105.5,26.004,14.753,11.25,5.904,76.826,73.726,80.091,63.346,60.379,66.454,19.028,17.463,20.518,9.505,8.614,10.227,0.975,12.711,75.783,1.285,16.721,57.475,76.258,37.824,136.357,173.213,97.949,64.503,87.448,40.657,118.751,154.067,82.182,7.967,1.809
Argentina,2022,45389.937,45510.318,22530.617,22979.701,16.301,98.046,31.567,236.876,5.205,240.762,0.529,131.03,627.741,64.435,13.794,1.876,0.898,28.802,105.1,390.865,203.278,187.588,8.589,76.064,72.851,79.277,61.961,58.769,65.145,17.023,14.604,19.153,8.479,6.753,9.562,5.542,8.825,622.93,6.486,10.272,36.114,44.183,27.637,124.554,153.387,94.937,50.67,63.528,37.276,113.958,142.424,84.787,3.886,0.085
Bolivia (Plurinational State of),2022,12148.966,12224.11,6126.364,6097.747,11.284,100.469,24.134,153.283,12.537,150.288,1.229,56.399,264.07,36.767,21.599,2.584,1.2,28.321,104.2,110.787,61.892,48.895,9.062,64.928,62.265,67.907,52.522,49.927,55.422,10.96,9.564,12.313,4.754,4.187,5.157,6.586,24.939,258.219,8.746,33.18,86.485,99.888,72.523,277.678,331.741,220.018,108.402,131.568,84.365,247.807,302.057,190.222,-3,-0.245
Brazil,2022,214824.774,215313.498,105733.027,109580.471,25.761,96.489,33.209,971.034,4.51,977.448,0.454,...,2723.266,336.14,12.649,1.626,0.777,27.778,104.5,1752.232,955.048,797.184,8.139,73.425,70.296,76.596,59.593,56.536,62.676,16.158,14.666,17.443,6.739,5.963,7.276,33.431,12.256,2694.048,37.913,13.825,55.482,73.337,36.981,170.103,217.213,122.274,80.288,107.964,52.011,156.567,203.038,109.601,6.425,0.03
Chile,2022,19592.428,19603.733,9729.531,9874.202,26.036,98.535,35.246,89.456,4.556,22.61,0.115,...,230.824,13.544,11.755,1.539,0.744,29.485,104.2,141.368,73.622,67.746,7.199,79.519,77.156,81.877,65.073,62.702,67.439,19.342,17.913,20.625,9.333,8.547,9.896,1.142,4.947,229.841,1.344,5.824,26.749,33.862,19.411,97.772,123.63,71.309,41.253,54.274,27.832,91.29,117.232,64.749,-66.85,-3.404
Colombia,2022,51788.827,51874.024,25575.607,26298.417,46.164,97.252,31.171,338.317,6.512,170.394,0.328,...,723.264,113.984,13.921,1.692,0.808,26.978,104.5,384.947,217.744,167.203,7.409,73.659,70.319,77.143,59.822,56.55,63.221,16.378,14.819,17.816,6.968,6.214,7.532,7.888,10.886,716.393,9.371,12.887,61.589,85.253,37.092,162.683,209.903,114.286,81.25,113.715,47.952,149.006,195.552,101.507,-167.924,-3.232
Ecuador,2022,17905.446,18001,8984.602,9016.398,72.479,99.647,27.926,211.316,11.733,191.108,1.062,65.268,298.666,47.741,16.583,2.003,0.958,27.441,104.7,87.35,47.874,39.476,4.85,77.894,75.313,80.481,64.133,61.678,66.573,19.079,17.747,20.256,8.69,7.831,9.334,3.194,10.69,295.881,3.788,12.661,48.723,64.442,32.383,118.677,147.994,88.497,56.364,75.754,36.389,104.178,132,75.706,-20.206,-1.122
Falkland Islands (Malvinas),2022,3.771,3.78,1.897,1.883,0.311,100.717,39.913,0.015,3.949,0.017,0.45,...,0.042,0.002,11.088,1.58,0.765,29.685,103,0.027,0.015,0.012,7.139,79.243,77.358,81.236,65.192,63.277,67.214,18.123,16.578,19.681,8.013,7.135,8.846,0,9.047,0.042,0,10.48,22.866,23.462,22.328,74.98,85.391,62.582,24.413,26.453,22.382,63.67,74.28,51.061,0,0
French Guiana,2022,300.769,304.557,151.337,153.22,3.705,98.77,23.807,6.374,20.967,7.576,2.488,27.86,7.573,0.789,24.913,3.469,1.682,29.584,103.7,1.199,0.709,0.49,3.946,77.452,74.763,80.32,63.256,60.667,66.011,17.058,15.434,18.708,7.547,6.737,8.128,0.057,7.553,7.523,0.068,8.998,25.629,34.025,17.347,95.321,124.507,66.143,34.556,46.873,22.585,85.687,113.61,57.933,1.2,3.947
Guyana,2022,806.572,808.726,395.982,412.743,4.108,95.939,25.713,8.216,10.135,4.307,0.533,130.046,16.129,2.313,19.897,2.369,1.112,27.288,103.7,7.913,4.418,3.495,9.762,65.989,62.778,69.399,53.105,50.045,56.337,12.871,11.338,14.311,6.462,5.63,7.085,0.381,23.559,15.79,0.465,28.757,89.325,108.17,70.965,290.35,355.097,225.403,127.762,162.489,94.68,267.074,331.25,203.313,-3.9,-4.811
Paraguay,2022,6743.247,6780.744,3402.132,3378.612,16.765,100.696,25.898,87.489,12.891,74.994,1.106,62.672,137.96,20.516,20.328,2.444,1.156,27.923,105,50.471,28.468,22.003,7.437,70.475,67.645,73.571,57.039,54.312,60.017,14.226,12.839,15.638,6.451,5.753,7.049,2.258,16.358,135.965,2.692,19.492,59.798,74.522,44.374,203.365,250.498,154.427,83.208,106.423,58.974,185.225,231.526,137.421,-12.499,-1.842
Peru,2022,33911.712,34049.588,16857.086,17192.503,26.599,98.049,28.446,336.401,9.871,275.753,0.81,85.574,592.156,81.305,17.376,2.164,1.033,28.298,104.1,255.755,137.326,118.429,7.505,73.385,71.332,75.495,59.513,57.495,61.581,15.985,14.988,16.938,6.654,6.211,7.032,5.75,9.705,587.155,7.176,12.113,50.338,61.547,39.288,169.303,200.772,137.299,74.155,92.336,56.082,156.026,187.203,124.403,-60.652,-1.78
Suriname,2022,615.644,618.04,307.625,310.416,3.962,99.101,28.05,5.781,9.346,4.793,0.776,89.323,11.123,1.499,17.983,2.322,1.105,27.872,104,5.342,2.952,2.391,8.637,70.289,67.189,73.577,56.719,53.715,59.893,14.522,12.543,16.251,6.959,5.811,7.76,0.179,16.117,10.965,0.201,18.044,59.415,70.272,48.05,218.103,264.632,168.199,90.055,110.342,68.651,201.836,247.547,152.987,-1,-1.617
Uruguay,2022,3422.617,3422.794,1658.372,1764.421,19.763,93.99,35.449,1.848,0.54,0.353,0.01,...,35.668,4.145,10.419,1.483,0.711,28.359,105.6,33.82,16.841,16.979,9.879,78,74.147,81.685,63.654,59.83,67.298,18.787,15.966,21.082,9.694,7.663,10.858,0.206,5.774,35.49,0.249,6.933,35.843,47.948,23.173,116.173,148.864,82.893,51.206,67.848,34.027,108.524,140.742,75.814,-1.5,-0.438
Venezuela (Bolivarian Republic of),2022,28047.658,28301.696,13996.791,14304.904,30.882,97.846,28.229,210.364,7.473,508.075,1.795,38.615,438.384,105.109,15.573,2.188,1.036,26.333,105.3,228.02,130.349,97.671,8.1,71.105,66.875,75.655,57.59,53.435,62.04,15.412,13.673,16.929,6.185,5.351,6.734,6.479,14.761,432.686,7.781,17.546,86.765,125.185,44.867,195.856,260.476,126.842,103.721,150.689,53.262,178.519,242.597,110.413,297.713,10.576
Bermuda,2022,64.236,64.184,30.929,33.255,1188.593,93.006,45.319,-0.107,-1.67,-0.104,-0.162,...,0.482,0.011,7.503,1.367,0.665,32.242,104,0.589,0.307,0.282,9.173,81.571,78.435,84.507,66.852,63.777,69.717,20.314,18.024,22.222,9.46,8.126,10.323,0.001,2.11,0.481,0.001,2.662,17.846,24.443,11.373,75.004,97.853,51.519,31.428,42.178,20.648,71.69,93.774,49.05,0,0
Canada,2022,38290.846,38454.327,19110.317,19344.011,4.229,98.792,40.381,78.376,2.044,326.962,0.85,81.547,376.188,6.648,9.814,1.466,0.706,31.184,105.4,297.812,152.829,144.982,7.77,82.847,80.868,84.797,68.286,66.322,70.218,21.437,20.072,22.686,10.283,9.364,11.008,1.481,3.936,374.917,1.726,4.584,20.308,25.534,14.798,66.699,81.397,51.657,28.624,36.686,20.314,61.63,76.109,46.829,248.586,6.485
Greenland,2022,56.367,56.466,29.651,26.816,0.138,110.572,34.171,0.29,5.147,0.198,0.351,...,0.796,0.061,14.092,1.958,0.932,27.998,105,0.506,0.323,0.183,8.945,72.582,70.117,75.95,58.543,56.181,61.803,15.117,13.659,17.131,6.899,6.14,7.555,0.007,8.589,0.79,0.008,10.361,50.295,59.38,40.675,173.1,206.538,133.069,76.638,91.085,60.139,161.699,194.039,122.899,-0.1,-1.77
Saint Pierre and Miquelon,2022,5.872,5.862,2.914,2.947,25.487,98.88,43.985,-0.027,-4.455,-0.02,-0.341,...,0.044,0.003,7.575,1.559,0.752,28.582,105.4,0.071,0.038,0.033,12.03,77.608,74.008,81.693,63.429,59.999,67.316,17.25,15.072,19.408,7.768,6.581,8.432,0,7.772,0.044,0,9.248,25.744,37.476,13.043,95.153,134.69,50.598,33.899,51.277,15.398,85.354,122.763,43.226,0,0
United States of America,2022,337499.479,338289.857,167498.138,170791.72,36.981,98.072,37.889,582.21,1.723,1580.756,0.467,...,3726.867,163.934,11.033,1.661,0.799,29.715,104.8,3144.657,1692.408,1452.249,9.31,78.203,75.479,81.015,63.747,61.053,66.525,19.539,18.07,20.889,9.712,8.865,10.377,18.768,5.035,3710.714,22.108,5.919,38.839,51.107,26.03,130.37,162.649,96.875,59.802,77.856,41.03,124.146,156.092,91.048,998.54,2.956
Australia,2022,26046.256,26177.413,12998.348,13179.066,3.407,98.629,37.238,122.307,4.684,262.315,1.002,69.176,300.246,5.737,11.5,1.599,0.771,31.29,105.6,177.939,92.357,85.582,6.816,83.579,81.708,85.453,68.914,67.065,70.764,21.752,20.527,22.925,10.15,9.409,10.776,0.844,2.812,299.523,1.019,3.384,16.409,21.146,11.565,60.203,75.013,45.409,26.437,34.307,18.484,56.321,70.853,41.836,139.991,5.362
New Zealand,2022,5163.684,5185.288,2570.321,2614.968,19.574,98.293,36.699,30.208,5.833,43.209,0.833,83.211,64.103,1.856,12.378,1.762,0.85,30.723,105.3,33.895,17.6,16.295,6.545,83.006,81.251,84.726,68.413,66.682,70.107,21.523,20.334,22.63,10.209,9.44,10.838,0.224,3.496,63.911,0.265,4.153,19.036,23.547,14.373,66.797,80.076,53.631,28.713,35.889,21.48,62.083,75.041,49.27,12.999,2.51
Fiji,2022,926.466,929.766,466.14,463.626,50.89,100.542,26.977,10.15,10.896,6.6,0.71,97.626,17.821,1.056,19.131,2.462,1.147,28.764,107.1,7.671,4.089,3.582,8.235,68.312,66.465,70.239,55.042,53.286,56.863,12.558,11.388,13.593,5.695,5.083,6.069,0.32,17.931,17.538,0.387,21.686,56.56,61.303,51.62,229.337,260.876,195.674,84.13,94.838,72.947,209.256,240.041,176.54,-3.557,-3.818
New Caledonia,2022,288.413,289.95,144.196,145.755,15.862,98.93,33.582,2.57,8.869,3.075,1.061,65.33,4.095,0.223,14.135,2.001,0.957,29.431,105.9,1.525,0.899,0.626,5.266,80.998,77.525,84.612,67.001,63.573,70.56,21.001,18.696,23.214,11.029,9.338,12.268,0.038,9.384,4.062,0.045,10.896,29.714,39.911,19.342,91.011,121.792,59.535,36.345,53.988,18.734,79.504,109.649,48.788,0.5,1.726
Papua New Guinea,2022,10048.412,10142.619,5232.314,4910.305,22.397,106.558,21.973,189.207,18.653,188.413,1.858,37.306,254.718,26.569,25.112,3.165,1.422,29.342,107.7,65.511,40.027,25.484,6.459,65.958,63.378,69.172,54.358,51.914,57.424,12.733,11.632,14.112,5.571,5.167,5.986,8.619,33.837,247.322,10.77,42.378,105.902,122.639,87.873,261.783,309.742,207.356,112.558,137.347,86.079,222.471,269.868,168.941,-0.8,-0.079
Solomon Islands,2022,716.218,724.273,369.899,354.373,25.152,104.381,19.373,17.717,24.434,16.109,2.224,31.167,21.262,2.102,29.322,3.925,1.826,29.016,107,3.545,1.988,1.556,4.888,70.742,69.294,72.358,57.44,56.155,58.873,13.805,13.115,14.535,5.759,5.52,6.012,0.331,15.567,20.96,0.392,18.531,61.278,67.827,54.373,183.005,204.969,158.866,75.927,83.691,67.995,162.604,182.723,140.567,-1.6,-2.206
Vanuatu,2022,322.875,326.74,164.308,162.433,26.804,101.155,19.543,7.73,23.656,7.731,2.366,29.296,9.466,0.971,28.968,3.697,1.717,28.64,107,1.736,1.018,0.718,5.312,70.492,68.316,73.067,57.417,55.352,59.868,13.916,12.823,15.36,6.084,5.652,6.575,0.178,18.829,9.308,0.215,22.795,64.041,73.653,54.495,188.76,222.715,155.211,77.825,91.394,63.906,165.913,198.814,133.745,0,0
Guam,2022,171.182,171.774,86.446,85.329,317.513,101.31,29.94,1.69,9.824,1.185,0.69,100.456,2.817,0.23,16.374,2.55,1.208,29.006,107,1.127,0.654,0.473,6.55,78.33,74.838,82.046,64.375,60.847,68.127,20.421,18.3,22.34,11.129,9.929,11.985,0.027,9.705,2.793,0.032,11.343,38.356,47.968,27.809,141.382,182.613,96.614,58.809,79.264,37.479,129.629,171.278,84.415,-0.5,-2.906
Kiribati,2022,130.077,131.232,63.943,67.289,180.76,95.027,22.034,2.699,20.541,2.309,1.76,39.383,3.512,0.231,26.723,3.271,1.472,29.6,107.1,0.813,0.405,0.407,6.182,67.661,65.731,69.386,56.459,54.849,57.804,13.626,12.726,14.198,5.751,5.397,5.908,0.131,37.427,3.4,0.165,46.994,99.186,109.779,88.387,228.375,257.387,200.453,90.859,101.473,81.117,183.808,209.479,159.951,-0.4,-3.043
Marshall Islands,2022,41.354,41.569,21.223,20.346,230.939,104.305,25.472,0.441,10.605,0.43,1.034,67.036,0.77,0.098,18.524,2.672,1.202,27.668,107,0.329,0.188,0.141,7.919,65.146,63.546,67.092,52.664,51.158,54.511,12.637,11.569,13.934,5.75,5.258,6.098,0.019,24.51,0.753,0.024,29.906,113.368,115.994,110.679,294.064,320.674,265.207,143.484,150.86,135.982,265.587,291.677,237.362,0,0
Micronesia (Fed. States of),2022,113.638,114.164,57.387,56.777,163.091,101.074,23.68,1.65,14.409,1.052,0.921,75.26,2.368,0.21,20.684,2.669,1.247,29.857,107,0.718,0.426,0.292,6.275,70.925,67.325,74.823,57.84,54.411,61.525,14.267,12.455,15.945,6.36,5.587,6.771,0.045,18.921,2.328,0.054,22.816,62.656,80.878,42.921,184.665,241.664,125.344,75.376,102.876,46.566,162.018,217.387,104.976,-0.6,-5.241
Nauru,2022,12.609,12.668,6.435,6.233,633.4,103.241,20.271,0.257,20.203,0.118,0.931,74.452,0.341,0.039,26.785,3.463,1.57,27.391,107.2,0.084,0.05,0.034,6.582,64.014,60.52,67.841,50.728,47.193,54.597,12.713,10.893,14.255,5.875,5.233,6.29,0.005,15.337,0.336,0.007,19.029,124.793,144.239,104.233,340.175,411.944,261.057,183.541,224.981,139.206,321.454,394.796,240.696,-0.14,-10.986
Northern Mariana Islands,2022,49.42,49.551,26.635,22.916,108.427,116.229,38.709,0.301,6.076,0.262,0.529,131.03,0.604,0.048,12.183,2.148,0.985,28.475,115.1,0.303,0.185,0.118,6.107,77.471,75.863,79.459,63.147,61.571,65.094,16.97,15.838,18.328,7.436,6.871,7.991,0.004,5.913,0.601,0.004,7.306,24.491,27.922,20.223,94.403,108.139,78.557,35.167,39.823,29.393,86.262,99.541,70.965,-0.05,-1.009
Palau,2022,18.051,18.055,9.376,8.679,39.249,108.025,35.785,0.028,1.512,0.007,0.039,...,0.27,0.026,14.934,2.373,1.078,28.55,107.7,0.242,0.144,0.099,13.422,65.362,62.2,69.314,51.898,48.737,55.857,13.245,11.392,15.005,6.264,5.438,6.68,0.004,14.629,0.267,0.005,17.243,111.084,125.991,93.534,315.93,375.86,241.236,167.559,199.091,127.543,298.997,359.714,223.343,-0.02,-1.107
American Samoa,2022,44.446,44.273,21.873,22.399,221.363,97.65,28.254,0.454,10.153,-0.347,-0.784,...,0.765,0.052,17.12,2.254,1.077,29.6,106,0.311,0.176,0.135,6.967,72.723,70.004,75.541,58.551,55.987,61.188,13.898,12.321,15.355,5.732,4.894,6.353,0.005,7.038,0.76,0.008,9.812,35.067,46.139,24.158,149.014,185.719,111.436,58.155,73.746,42.742,139.02,173.906,103.593,-0.81,-18.13
Cook Islands,2022,16.989,17.011,8.097,8.914,70.877,90.829,33.267,0.131,7.681,0.043,0.253,...,0.275,0.029,16.11,2.226,1.063,28.612,106,0.144,0.085,0.059,8.429,75.148,71.445,79.035,60.793,57.092,64.674,16.576,14.674,18.488,7.551,6.721,8.185,0.002,5.662,0.274,0.002,6.79,38.212,54.55,24.647,144.105,198.303,91.547,63.228,93.167,37.168,136.467,190.724,83.946,-0.1,-5.862
French Polynesia,2022,304.967,306.279,154.794,151.485,83.138,102.184,33.454,2.729,8.91,2.624,0.857,80.881,3.844,0.364,12.55,1.688,0.812,28.932,105.9,1.115,0.661,0.454,3.64,83.55,81.329,85.977,69.141,66.924,71.564,21.11,19.249,23.073,9.958,8.668,11.077,0.021,5.355,3.825,0.024,6.214,13.596,14.651,12.516,44.957,54.37,34.842,14.502,16.706,12.281,38.064,47.312,28.126,-0.1,-0.326
Niue,2022,1.931,1.934,0.907,1.026,7.437,88.358,35.936,0,0.226,0.005,0.259,...,0.027,0.001,14.007,2.415,1.118,30.438,107.1,0.027,0.012,0.014,13.781,71.189,69.451,72.868,58.18,56.607,59.672,14.371,13.183,15.331,6.311,5.718,6.572,0.001,19.441,0.027,0.001,23.488,60.909,66.917,56.243,178.754,197.088,159.429,70.382,75.611,66.667,155.094,171.447,137.961,0,0
Samoa,2022,220.728,222.382,113.375,109.007,78.58,104.007,20.639,4.808,21.547,3.308,1.488,46.582,6.024,0.458,26.997,3.875,1.812,29.35,107.6,1.216,0.685,0.531,5.45,72.598,70.146,75.333,59.142,56.787,61.763,14.885,13.441,16.324,6.567,5.885,7.002,0.091,15.076,5.944,0.108,17.991,50.563,60.038,40.747,160.007,191.932,124.525,62.983,76.674,48.685,141.627,172.458,107.452,-1.5,-6.722
Tokelau,2022,1.861,1.871,0.935,0.937,155.917,99.786,26.662,0.021,11.246,0.02,1.069,64.841,0.035,0.004,18.543,2.673,1.285,29.552,103,0.014,0.006,0.007,7.297,75.38,74.424,76.198,60.997,60.083,61.77,16.567,15.517,17.477,7.485,6.897,7.797,0,4.722,0.035,0,5.937,38.479,36.018,40.942,137.378,138.518,137.223,61.563,57.267,65.838,129.968,130.622,130.308,0,0
Tonga,2022,106.399,106.858,52.848,54.01,164.396,97.849,21.714,1.717,16.009,0.917,0.858,80.786,2.456,0.107,22.894,3.193,1.482,30.396,108.1,0.739,0.407,0.332,6.885,71.27,68.581,74.123,57.29,54.642,60.093,14.889,13.23,16.516,6.768,6.056,7.323,0.023,9.182,2.436,0.027,10.915,61.043,69.793,52.856,201.613,240.088,162.637,93.789,111.406,77.66,189.669,227.862,151.131,-0.8,-7.458
Tuvalu,2022,11.267,11.312,5.799,5.513,377.05,105.197,25.032,0.15,13.215,0.089,0.787,88.075,0.265,0.014,23.318,3.144,1.432,29.018,107,0.115,0.068,0.046,10.103,64.854,61.136,69.391,51.679,47.978,56.198,12.869,11.022,14.653,5.993,5.246,6.432,0.005,17.61,0.261,0.006,21.17,114.479,137.31,88.679,322.21,393.821,230.433,166.314,209.391,115.979,302.188,374.681,209.364,-0.06,-5.288
Wallis and Futuna Islands,2022,11.613,11.572,5.552,6.021,82.661,92.218,36.27,0.058,4.974,-0.081,-0.7,...,0.135,0.006,11.61,1.929,0.922,30.016,104.8,0.077,0.04,0.037,6.636,80.015,79.031,80.99,66.002,64.716,67.303,19.091,17.862,20.337,9.354,8.571,9.943,0.001,9.779,0.134,0.002,11.358,21.408,16.566,26.21,75.77,74.694,77.353,23.371,21.358,25.034,64.203,66.538,62.191,-0.136,-11.68
